127.0.0.1 - - [26/Oct/2015:09:13:59 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [26/Oct/2015:09:14:01 +0530] "GET /j2ee_projects/Table.html HTTP/1.1" 200 929
0:0:0:0:0:0:0:1 - - [26/Oct/2015:09:14:01 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [26/Oct/2015:09:14:15 +0530] "GET /j2ee_projects/IndexDB.jsp?val=1 HTTP/1.1" 200 283
0:0:0:0:0:0:0:1 - - [26/Oct/2015:09:14:16 +0530] "GET /j2ee_projects/IndexDB.jsp?val=1 HTTP/1.1" 200 283
0:0:0:0:0:0:0:1 - - [26/Oct/2015:09:15:34 +0530] "GET /j2ee_projects/Table.html HTTP/1.1" 200 927
0:0:0:0:0:0:0:1 - - [26/Oct/2015:09:15:34 +0530] "GET /j2ee_projects/Table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:09:15:35 +0530] "GET /j2ee_projects/Table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:09:15:35 +0530] "GET /j2ee_projects/Table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:09:15:37 +0530] "GET /j2ee_projects/IndexDB.jsp?val=2 HTTP/1.1" 200 281
0:0:0:0:0:0:0:1 - - [26/Oct/2015:09:15:40 +0530] "GET /j2ee_projects/IndexDB.jsp?val=1 HTTP/1.1" 200 283
0:0:0:0:0:0:0:1 - - [26/Oct/2015:09:15:49 +0530] "GET /j2ee_projects/Table.html HTTP/1.1" 200 929
0:0:0:0:0:0:0:1 - - [26/Oct/2015:09:15:49 +0530] "GET /j2ee_projects/Table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:09:15:50 +0530] "GET /j2ee_projects/Table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:09:15:50 +0530] "GET /j2ee_projects/Table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:09:15:50 +0530] "GET /j2ee_projects/Table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:09:15:50 +0530] "GET /j2ee_projects/Table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:09:15:50 +0530] "GET /j2ee_projects/Table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:09:15:51 +0530] "GET /j2ee_projects/Table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:09:15:51 +0530] "GET /j2ee_projects/Table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:09:15:51 +0530] "GET /j2ee_projects/Table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:09:15:51 +0530] "GET /j2ee_projects/Table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:09:15:53 +0530] "GET /j2ee_projects/IndexDB.jsp?val=2 HTTP/1.1" 200 281
0:0:0:0:0:0:0:1 - - [26/Oct/2015:09:23:20 +0530] "GET /j2ee_projects/Table.html HTTP/1.1" 200 927
0:0:0:0:0:0:0:1 - - [26/Oct/2015:09:26:38 +0530] "GET /CarService/ HTTP/1.1" 200 829
0:0:0:0:0:0:0:1 - - [26/Oct/2015:09:26:38 +0530] "GET /CarService/FormValidation.js HTTP/1.1" 200 1472
0:0:0:0:0:0:0:1 - - [26/Oct/2015:09:26:50 +0530] "GET /CarService/Admin.jsp HTTP/1.1" 200 747
0:0:0:0:0:0:0:1 - - [26/Oct/2015:09:26:58 +0530] "POST /CarService/AdminLoginServlet HTTP/1.1" 200 451
0:0:0:0:0:0:0:1 - - [26/Oct/2015:09:26:58 +0530] "GET /CarService/bottom.htm HTTP/1.1" 200 179
0:0:0:0:0:0:0:1 - - [26/Oct/2015:09:26:59 +0530] "GET /CarService/top_AdminView.jsp HTTP/1.1" 200 1099
0:0:0:0:0:0:0:1 - - [26/Oct/2015:09:27:03 +0530] "GET /CarService/Employee.html HTTP/1.1" 200 861
0:0:0:0:0:0:0:1 - - [26/Oct/2015:09:27:06 +0530] "GET /CarService/UpdateEmp.jsp HTTP/1.1" 200 1404
0:0:0:0:0:0:0:1 - - [26/Oct/2015:09:27:07 +0530] "GET /CarService/UpdateDetails.jsp?employeeid=DS-1140 HTTP/1.1" 200 1374
0:0:0:0:0:0:0:1 - - [26/Oct/2015:09:27:08 +0530] "GET /CarService/UpdateDetails.jsp?employeeid= HTTP/1.1" 200 340
0:0:0:0:0:0:0:1 - - [26/Oct/2015:09:27:10 +0530] "GET /CarService/UpdateDetails.jsp?employeeid=ds-1204 HTTP/1.1" 200 1363
